time,open,high,low,close,volume
1531375200,112.296,112.302,112.214,112.258,700
1531378800,112.26,112.421,112.257,112.336,1142
1531382400,112.332,112.386,112.255,112.374,1020
1531386000,112.376,112.468,112.376,112.426,694
1531389600,112.424,112.615,112.414,112.608,873
1531393200,112.606,112.628,112.5,112.505,824
1531396800,112.502,112.58,112.388,112.488,1169
1531400400,112.486,112.536,112.372,112.524,1180
1531404000,112.526,112.546,112.402,112.408,1277
1531407600,112.412,112.464,112.392,112.42,931
1531411200,112.418,112.456,112.365,112.443,886
1531414800,112.44,112.54,112.416,112.469,938
1531418400,112.471,112.547,112.46,112.466,853
1531422000,112.468,112.514,112.458,112.495,433
1531425600,112.498,112.546,112.48,112.527,176
1531429200,112.518,112.55,112.479,112.528,568
1531432800,112.53,112.662,112.52,112.607,603
1531436400,112.61,112.707,112.605,112.672,698
1531440000,112.674,112.77,112.622,112.686,1104
1531443600,112.689,112.712,112.614,112.664,768
1531447200,112.667,112.674,112.577,112.598,693
1531450800,112.6,112.682,112.584,112.649,459
1531454400,112.647,112.674,112.606,112.669,519
1531458000,112.666,112.674,112.562,112.572,485
1531461600,112.569,112.666,112.544,112.618,630
1531465200,112.62,112.8,112.609,112.786,932
1531468800,112.784,112.802,112.714,112.724,743
1531472400,112.726,112.754,112.42,112.474,1310
1531476000,112.471,112.636,112.46,112.608,561
1531479600,112.606,112.644,112.569,112.638,504
1531483200,112.636,112.636,112.474,112.51,733
1531486800,112.512,112.564,112.49,112.518,804
1531490400,112.515,112.524,112.374,112.399,1284
1531494000,112.402,112.495,112.336,112.396,1595
1531497600,112.394,112.466,112.386,112.44,696
1531501200,112.438,112.469,112.369,112.37,485
1531504800,112.368,112.37,112.294,112.327,550
1531508400,112.325,112.35,112.276,112.338,334
1531512000,112.336,112.375,112.324,112.364,221
1531688400,112.212,112.369,112.212,112.32,444
1531692000,112.318,112.429,112.318,112.398,522
1531695600,112.396,112.466,112.37,112.4,723
1531699200,112.403,112.518,112.397,112.48,515
1531702800,112.478,112.564,112.456,112.464,1023
1531706400,112.467,112.522,112.454,112.49,618
1531710000,112.492,112.497,112.454,112.471,252
1531713600,112.474,112.49,112.464,112.476,70
1531717200,112.474,112.474,112.389,112.408,411
1531720800,112.41,112.456,112.338,112.368,729
1531724400,112.37,112.531,112.354,112.511,502
1531728000,112.508,112.508,112.429,112.473,473
1531731600,112.476,112.476,112.392,112.397,371
1531735200,112.399,112.414,112.349,112.356,316
1531738800,112.358,112.366,112.3,112.326,353
1531742400,112.324,112.428,112.276,112.352,693
1531746000,112.35,112.436,112.318,112.336,784
1531749600,112.334,112.39,112.228,112.384,893
1531753200,112.382,112.414,112.29,112.29,694
1531756800,112.292,112.38,112.232,112.333,586
1531760400,112.331,112.345,112.282,112.295,359
1531764000,112.298,112.304,112.246,112.276,306
1531767600,112.279,112.317,112.249,112.288,389
1531771200,112.29,112.32,112.255,112.287,492
1531774800,112.287,112.302,112.237,112.271,389
1531778400,112.274,112.314,112.26,112.314,505
1531782000,112.312,112.419,112.3,112.385,575
1531785600,112.382,112.46,112.351,112.421,1352
1531789200,112.423,112.573,112.404,112.428,1846
1531792800,112.43,112.447,112.376,112.423,1018
1531796400,112.426,112.428,112.346,112.346,595
1531800000,112.348,112.407,112.328,112.386,557
1531803600,112.384,112.44,112.379,112.41,636
1531807200,112.413,112.437,112.334,112.357,761
1531810800,112.36,112.381,112.222,112.342,1010
1531814400,112.344,112.396,112.324,112.348,593
1531818000,112.35,112.39,112.3,112.382,517
1531821600,112.384,112.528,112.382,112.522,506
1531825200,112.525,112.615,112.494,112.608,585
1531828800,112.611,112.668,112.578,112.657,709
1531832400,112.66,112.776,112.615,112.766,1033
1531836000,112.768,112.916,112.638,112.827,1925
1531839600,112.824,112.836,112.725,112.809,1112
1531843200,112.811,112.894,112.784,112.875,920
1531846800,112.878,112.925,112.802,112.819,1235
1531850400,112.816,112.907,112.811,112.831,533
1531854000,112.828,112.878,112.822,112.848,405
1531857600,112.846,112.888,112.834,112.878,328
1531861200,112.874,112.914,112.855,112.906,539
1531864800,112.903,112.948,112.884,112.926,314
1531868400,112.929,113.077,112.927,113.022,1301
1531872000,113.02,113.062,112.951,112.978,1263
1531875600,112.981,113.01,112.879,112.942,1319
1531879200,112.94,112.964,112.92,112.927,308
1531882800,112.929,112.962,112.92,112.95,443
1531886400,112.952,113.018,112.95,113.004,569
1531890000,113.006,113.048,112.98,113.004,908
1531893600,113.002,113.138,113.0,113.072,1030
1531897200,113.074,113.104,113.02,113.055,717
1531900800,113.058,113.074,113.0,113.031,845
1531904400,113.034,113.036,112.954,112.96,617
1531908000,112.962,113.004,112.926,112.998,488
1531911600,112.996,113.034,112.952,112.96,494
1531915200,112.957,112.96,112.712,112.82,1245
1531918800,112.818,112.878,112.748,112.838,1189
1531922400,112.836,112.876,112.764,112.778,1087
1531926000,112.776,112.868,112.716,112.82,730
1531929600,112.822,112.822,112.738,112.802,645
1531933200,112.8,112.811,112.766,112.807,246
1531936800,112.81,112.846,112.797,112.846,342
1531940400,112.844,112.902,112.836,112.88,463
1531944000,112.878,112.889,112.83,112.838,330
1531947600,112.847,112.896,112.767,112.84,882
1531951200,112.842,112.873,112.829,112.859,328
1531954800,112.857,112.871,112.787,112.802,323
1531958400,112.804,112.827,112.672,112.7,1279
1531962000,112.702,112.804,112.696,112.73,1416
1531965600,112.732,112.766,112.653,112.742,634
1531969200,112.744,112.768,112.692,112.725,517
1531972800,112.728,112.762,112.678,112.732,543
1531976400,112.734,112.83,112.731,112.79,576
1531980000,112.792,112.878,112.768,112.822,922
1531983600,112.82,113.037,112.818,112.974,1312
1531987200,112.972,113.049,112.923,112.937,965
1531990800,112.94,113.072,112.935,113.022,734
1531994400,113.02,113.082,112.934,113.024,809
1531998000,113.028,113.062,112.946,112.954,727
1532001600,112.956,113.178,112.951,113.088,1217
1532005200,113.085,113.093,112.904,112.942,1209
1532008800,112.94,112.96,112.83,112.88,1296
1532012400,112.882,112.996,112.88,112.984,803
1532016000,112.982,112.986,112.79,112.858,671
1532019600,112.856,112.858,112.056,112.34,6763
1532023200,112.338,112.475,112.27,112.466,1598
1532026800,112.469,112.516,112.432,112.498,762
1532030400,112.501,112.518,112.394,112.468,411
1532034000,112.464,112.472,112.378,112.439,474
1532037600,112.442,112.486,112.419,112.444,594
1532041200,112.447,112.468,112.349,112.363,631
1532044800,112.366,112.602,112.353,112.529,1934
1532048400,112.526,112.624,112.276,112.383,4126
1532052000,112.386,112.484,112.353,112.41,2298
1532055600,112.412,112.412,112.303,112.346,1345
1532059200,112.344,112.386,112.21,112.219,932
1532062800,112.222,112.341,112.221,112.318,1631
1532066400,112.32,112.424,112.306,112.352,1110
1532070000,112.355,112.447,112.345,112.444,922
1532073600,112.442,112.504,112.42,112.447,576
1532077200,112.445,112.482,112.366,112.433,762
1532080800,112.43,112.452,112.316,112.394,1846
1532084400,112.396,112.454,112.252,112.264,704
1532088000,112.267,112.302,111.752,111.77,2778
1532091600,111.772,111.918,111.718,111.85,2665
1532095200,111.858,111.863,111.57,111.832,3289
1532098800,111.834,111.857,111.716,111.748,1150
1532102400,111.746,111.788,111.681,111.686,621
1532106000,111.688,111.701,111.54,111.558,708
1532109600,111.556,111.563,111.404,111.514,1084
1532113200,111.517,111.592,111.472,111.51,651
1532116800,111.508,111.522,111.388,111.434,614
1532293200,111.384,111.452,111.352,111.405,272
1532296800,111.408,111.51,111.296,111.336,1400
1532300400,111.338,111.375,111.057,111.062,1245
1532304000,111.064,111.082,110.852,110.936,2382
1532307600,110.938,111.173,110.752,110.888,3066
1532311200,110.886,110.975,110.855,110.947,956
1532314800,110.95,110.959,110.862,110.887,723
1532318400,110.889,110.948,110.884,110.94,468
1532322000,110.942,111.007,110.902,110.987,972
1532325600,110.984,111.048,110.897,111.028,1234
1532329200,111.03,111.128,110.938,110.966,1422
1532332800,110.968,111.14,110.914,111.102,755
1532336400,111.1,111.19,111.064,111.136,916
1532340000,111.138,111.176,111.09,111.098,519
1532343600,111.1,111.12,111.06,111.094,406
1532347200,111.096,111.271,111.092,111.268,668
1532350800,111.266,111.348,111.242,111.288,1345
1532354400,111.291,111.42,111.27,111.396,1445
1532358000,111.392,111.426,111.258,111.352,1129
1532361600,111.354,111.498,111.335,111.432,1045
1532365200,111.435,111.544,111.384,111.458,763
1532368800,111.46,111.503,111.402,111.474,696
1532372400,111.476,111.522,111.389,111.416,508
1532376000,111.418,111.44,111.326,111.345,536
1532379600,111.345,111.36,111.29,111.317,1544
1532383200,111.314,111.378,111.294,111.378,358
1532386800,111.376,111.513,111.376,111.465,814
1532390400,111.468,111.468,111.226,111.23,1400
1532394000,111.233,111.233,111.06,111.208,1480
1532397600,111.205,111.26,111.176,111.239,641
1532401200,111.236,111.362,111.236,111.313,452
1532404800,111.31,111.357,111.284,111.342,392
1532408400,111.339,111.343,111.293,111.294,347
1532412000,111.292,111.452,111.292,111.361,1005
1532415600,111.358,111.358,111.14,111.206,1509
1532419200,111.21,111.273,111.162,111.24,688
1532422800,111.238,111.238,111.164,111.195,419
1532426400,111.198,111.202,111.014,111.04,585
1532430000,111.038,111.092,111.016,111.06,759
1532433600,111.062,111.208,111.062,111.172,930
1532437200,111.174,111.186,110.962,111.006,1287
1532440800,111.008,111.114,110.976,111.098,1340
1532444400,111.096,111.292,111.074,111.282,1374
1532448000,111.279,111.336,111.228,111.284,986
1532451600,111.286,111.288,111.134,111.16,1008
1532455200,111.158,111.22,111.152,111.22,776
1532458800,111.222,111.236,111.154,111.19,461
1532462400,111.188,111.227,111.171,111.201,197
1532466000,111.172,111.228,111.158,111.202,1190
1532469600,111.206,111.252,111.196,111.245,378
1532473200,111.243,111.29,111.216,111.279,360
1532476800,111.276,111.34,111.152,111.295,1527
1532480400,111.292,111.385,111.198,111.281,1314
1532484000,111.279,111.321,111.25,111.297,640
1532487600,111.294,111.326,111.276,111.304,482
1532491200,111.302,111.322,111.268,111.283,458
1532494800,111.286,111.286,111.146,111.21,553
1532498400,111.206,111.233,111.146,111.164,763
1532502000,111.167,111.284,111.13,111.257,883
1532505600,111.254,111.31,111.208,111.208,668
1532509200,111.204,111.206,111.034,111.146,920
1532512800,111.144,111.212,111.086,111.105,545
1532516400,111.108,111.11,111.016,111.046,669
1532520000,111.048,111.098,110.988,111.058,761
1532523600,111.056,111.094,110.934,111.058,1412
1532527200,111.056,111.118,110.814,110.938,2998
1532530800,110.936,111.028,110.888,111.028,2186
1532534400,111.025,111.052,110.944,110.98,984
1532538000,110.978,110.995,110.661,110.758,2533
1532541600,110.756,110.878,110.73,110.832,1356
1532545200,110.835,111.002,110.779,110.968,2649
1532548800,110.972,111.084,110.904,110.972,1227
1532552400,110.978,111.048,110.83,110.872,1886
1532556000,110.87,110.988,110.867,110.917,800
1532559600,110.915,110.927,110.842,110.859,581
1532563200,110.857,110.886,110.712,110.752,1392
1532566800,110.75,110.883,110.74,110.818,891
1532570400,110.816,110.854,110.769,110.77,589
1532574000,110.767,110.81,110.744,110.792,326
1532577600,110.79,110.81,110.752,110.8,224
1532581200,110.802,110.808,110.649,110.675,968
1532584800,110.673,110.75,110.588,110.676,1246
1532588400,110.679,110.728,110.642,110.698,902
1532592000,110.701,110.742,110.654,110.718,673
1532595600,110.72,110.882,110.718,110.798,584
1532599200,110.8,110.85,110.775,110.829,376
1532602800,110.832,110.87,110.812,110.862,562
1532606400,110.86,110.98,110.824,110.98,1693
1532610000,110.977,111.106,110.936,111.058,2225
1532613600,111.06,111.186,111.04,111.057,1780
1532617200,111.054,111.208,111.047,111.208,1187
1532620800,111.206,111.212,111.084,111.096,698
1532624400,111.094,111.228,111.087,111.18,848
1532628000,111.182,111.249,111.168,111.229,508
1532631600,111.232,111.25,111.168,111.245,420
1532635200,111.248,111.248,111.198,111.237,290
1532638800,111.23,111.248,111.222,111.242,88
1532642400,111.24,111.242,111.18,111.203,255
1532646000,111.206,111.24,111.128,111.158,382
1532649600,111.162,111.196,111.099,111.13,817
